director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
Cedric Nicolas-Troyan,the huntsman: winter's war,Chris Hemsworth,Sam Claflin,Charlize Theron,Action Adventure Drama Fantasy
Jonathan Liebesman,teenage mutant ninja turtles,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi
Alfonso Cuarón,gravity,Phaldut Sharma,Basher Savage,Amy Warren,Adventure Drama Sci-Fi Thriller
Roger Donaldson,dante's peak,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action Adventure Thriller
Dave Green,teenage mutant ninja turtles: out of the shadows,Stephen Amell,Noel Fisher,Brad Garrett,Action Adventure Comedy Sci-Fi
Josh Trank,fantastic four,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi
Shawn Levy,night at the museum,Robin Williams,Rami Malek,Steve Coogan,Action Adventure Comedy Family Fantasy
Brad Peyton,san andreas,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action Adventure Drama Thriller
Roger Spottiswoode,tomorrow never dies,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller
Roland Emmerich,the patriot,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War
Steven Soderbergh,ocean's twelve,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller
Doug Liman,mr. & mrs. smith,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller
Robert Schwentke,insurgent,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller
Martin Scorsese,the aviator,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography Drama
Rob Letterman,gulliver's travels,James Corden,Catherine Tate,Olly Alexander,Adventure Comedy Family Fantasy
Michel Gondry,the green hornet,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action Comedy Crime Sci-Fi Thriller
unknown,the a-team            ,George Peppard,Dirk Benedict,Dwight Schultz,Action Adventure Crime
Noam Murro,300: rise of an empire,Eva Green,Sullivan Stapleton,Peter Mensah,Action Drama Fantasy War
Raja Gosnell,the smurfs,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Adventure Animation Comedy Family Fantasy
Will Finn,home on the range,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation Comedy Family Music Western
Robert Schwentke,allegiant,Naomi Watts,Theo James,Zoë Kravitz,Action Adventure Mystery Sci-Fi Thriller
Shawn Levy,real steel,Hugh Jackman,Torey Michael Adkins,Olga Fonda,Action Drama Sci-Fi Sport
Raja Gosnell,the smurfs 2,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,Adventure Animation Comedy Family Fantasy
Jan de Bont,speed 2: cruise control,Jason Patric,Temuera Morrison,Lois Chiles,Action Crime Romance Thriller
Gavin Hood,ender's game,Harrison Ford,Moises Arias,Aramis Knight,Action Sci-Fi
Len Wiseman,live free or die hard,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action Adventure Thriller
Peter Jackson,the lord of the rings: the fellowship of the ring,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy
Frank Coraci,around the world in 80 days,Jim Broadbent,Steve Coogan,Cécile De France,Action Adventure Comedy
Michael Mann,ali,Will Smith,Jada Pinkett Smith,Joe Morton,Biography Drama Sport
Bo Welch,the cat in the hat,Sean Hayes,Kelly Preston,Spencer Breslin,Adventure Comedy Family Fantasy
Alex Proyas,"i, robot",Will Smith,Bruce Greenwood,Chi McBride,Action Mystery Sci-Fi Thriller
Ridley Scott,kingdom of heaven,Liam Neeson,Orlando Bloom,Philip Glenister,Action Adventure Drama History War
Rob Minkoff,stuart little,Chazz Palminteri,Nathan Lane,Jeffrey Jones,Adventure Comedy Family Fantasy
Ron Clements,the princess and the frog,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Animation Family Fantasy Musical Romance
Ridley Scott,the martian,Matt Damon,Donald Glover,Benedict Wong,Adventure Drama Sci-Fi
Christopher Barnard,"10,000 b.c.            ",Mathew Buck,unknown,unknown,Comedy
Michael Bay,the island,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller
Peter Chelsom,town & country,Del Zamora,Warren Beatty,Garry Shandling,Comedy Romance
Dominic Sena,gone in sixty seconds,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller
Ridley Scott,gladiator,Djimon Hounsou,Connie Nielsen,Oliver Reed,Action Drama Romance
Steven Spielberg,minority report,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller
Chris Columbus,harry potter and the chamber of secrets,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Family Fantasy Mystery
Martin Campbell,casino royale,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller
Tim Burton,planet of the apes,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Action Adventure Sci-Fi Thriller
James Cameron,terminator 2: judgment day,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,Action Sci-Fi
Michael Mann,public enemies,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance
Ridley Scott,american gangster,Denzel Washington,Ruby Dee,RZA,Biography Crime Drama
James Cameron,true lies,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller
Tony Scott,the taking of pelham 1 2 3,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller
Paul Weitz,little fockers,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance
Adam McKay,the other guys,Dwayne Johnson,Will Ferrell,Derek Jeter,Action Comedy Crime
Chuck Russell,eraser,Vanessa Williams,James Coburn,Roma Maffia,Action Drama Mystery Thriller
Quentin Tarantino,django unchained,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,Drama Western
Gary Trousdale,the hunchback of notre dame,Demi Moore,Jason Alexander,Bill Fagerbakke,Animation Drama Family Musical Romance
Mark Dindal,the emperor's new groove,Eartha Kitt,Wendie Malick,John Fiedler,Adventure Animation Comedy Family Fantasy
Simon West,the expendables 2,Jason Statham,Sylvester Stallone,Bruce Willis,Action Adventure Thriller
Jon Turteltaub,national treasure,Nicolas Cage,Armando Riesco,Annie Parisse,Action Adventure Comedy Family Mystery
Stefen Fangmeier,eragon,Djimon Hounsou,Ed Speleers,Gary Lewis,Action Adventure Family Fantasy
Spike Jonze,where the wild things are,Catherine O'Hara,Ryan Corr,Max Records,Adventure Drama Family Fantasy
Joe Wright,pan,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy
Chris Wedge,epic,Josh Hutcherson,Emma Kenney,Troy Evans,Adventure Animation Family Fantasy
Florian Henckel von Donnersmarck,the tourist,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller
Peter Hyams,end of days,CCH Pounder,Mark Margolis,Udo Kier,Action Fantasy Horror Mystery
Edward Zwick,blood diamond,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,Adventure Drama Thriller
Martin Scorsese,the wolf of wall street,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,Biography Comedy Crime Drama
Joel Schumacher,batman forever,Michael Gough,Rene Auberjonois,Debi Mazar,Action Adventure Fantasy
Paul Verhoeven,starship troopers,Jake Busey,Patrick Muldoon,Seth Gilliam,Action Sci-Fi War
Tom Tykwer,cloud atlas,Tom Hanks,Jim Sturgess,Jim Broadbent,Drama Sci-Fi
Zack Snyder,legend of the guardians: the owls of ga'hoole,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Action Adventure Animation Family Fantasy
Pitof,catwoman,Frances Conroy,Christopher Heyerdahl,Alex Borstein,Action Crime Fantasy Romance Thriller
Brett Ratner,hercules,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure
Ron Clements,treasure planet,Joseph Gordon-Levitt,Martin Short,Michael Wincott,Adventure Animation Family Sci-Fi
Brad Silberling,land of the lost,Will Ferrell,Anna Friel,Bobb'e J. Thompson,Adventure Comedy Sci-Fi
Patrick Hughes,the expendables 3,Jason Statham,Sylvester Stallone,Harrison Ford,Action Adventure Thriller
Ericson Core,point break,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller
Lawrence Guterman,son of the mask,Jamie Kennedy,Traylor Howard,Ben Stein,Comedy Family Fantasy
Ron Howard,in the heart of the sea,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller
Ron Underwood,the adventures of pluto nash,Rosario Dawson,Randy Quaid,Burt Young,Action Comedy Sci-Fi
Paul Greengrass,green zone,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War
Steve Martino,the peanuts movie,Francesca Capaldi,Venus Schultheis,Bill Melendez,Adventure Animation Comedy Family
David Mamet,the spanish prisoner,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller
Stephen Sommers,the mummy returns,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller
Martin Scorsese,gangs of new york,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,Crime Drama
Yimou Zhang,the flowers of war,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War
Ash Brannon,surf's up,Jeff Bridges,Zooey Deschanel,Jon Heder,Animation Comedy Family Sport
Frank Oz,the stepford wives,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller
Ridley Scott,black hawk down,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War
Jay Roach,the campaign,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Comedy
Luc Besson,the fifth element,Milla Jovovich,Bruce Willis,Gary Oldman,Action Adventure Sci-Fi
Michael Patrick King,sex and the city 2,Chris Noth,Liza Minnelli,Kristin Davis,Comedy Drama Romance
Bibo Bergeron,the road to el dorado,Frank Welker,Rosie Perez,Elton John,Adventure Animation Comedy Family Romance
Steve Martino,ice age: continental drift,Peter Dinklage,Josh Gad,Drake,Adventure Animation Comedy Family
Kenneth Branagh,cinderella,Hayley Atwell,Derek Jacobi,Lily James,Drama Family Fantasy Romance
Peter Jackson,the lovely bones,Michael Imperioli,AJ Michalka,Tom McCarthy,Drama Fantasy Thriller
Andrew Stanton,finding nemo,Alexander Gould,Stephen Root,Brad Garrett,Adventure Animation Comedy Family
Peter Jackson,the lord of the rings: the return of the king,Orlando Bloom,Billy Boyd,Bernard Hill,Action Adventure Drama Fantasy
Peter Jackson,the lord of the rings: the two towers,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy
Sergey Bodrov,seventh son,Jeff Bridges,Djimon Hounsou,Olivia Williams,Action Adventure Fantasy
Simon West,lara croft: tomb raider,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller
Wally Pfister,transcendence,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller
Joe Johnston,jurassic park iii,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller
Rupert Wyatt,rise of the planet of the apes,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller
Mark Waters,the spiderwick chronicles,Martin Short,Tod Fennell,Joan Plowright,Adventure Family Fantasy
John Moore,a good day to die hard,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller
John Lee Hancock,the alamo,Dennis Quaid,Marc Blucas,Jordi Mollà,Drama History War Western
Brad Bird,the incredibles,Holly Hunter,Craig T. Nelson,Lou Romano,Action Adventure Animation Family
Renny Harlin,cutthroat island,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy
Chris Columbus,percy jackson & the olympians: the lightning thief,Logan Lerman,Rosario Dawson,Steve Coogan,Adventure Family Fantasy
Barry Sonnenfeld,men in black,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi
John Lasseter,toy story 2,Tom Hanks,John Ratzenberger,Wayne Knight,Adventure Animation Comedy Family Fantasy
Tony Scott,unstoppable,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller
Brett Ratner,rush hour 2,Mei Melançon,John Lone,Harris Yulin,Action Comedy Crime Thriller
Robert Zemeckis,what lies beneath,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller
Phil Lord,cloudy with a chance of meatballs,Will Forte,Bobb'e J. Thompson,Al Roker,Animation Comedy Family Sci-Fi
Carlos Saldanha,ice age: dawn of the dinosaurs,Denis Leary,Maile Flanagan,Kelly Keaton,Action Adventure Animation Comedy Family
Ben Stiller,the secret life of walter mitty,Adam Scott,Adrian Martinez,Joey Slotnick,Adventure Comedy Drama Fantasy Romance
McG,charlie's angels,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller
Martin Scorsese,the departed,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller
Tony Bancroft,mulan,Ming-Na Wen,Harvey Fierstein,June Foray,Adventure Animation Family Fantasy Musical War
Ben Stiller,tropic thunder,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Action Comedy
David Fincher,the girl with the dragon tattoo,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller
John McTiernan,die hard with a vengeance,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller
Guy Ritchie,sherlock holmes,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller
Timur Bekmambetov,ben-hur,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History
Gary Trousdale,atlantis: the lost empire,Leonard Nimoy,Jim Varney,Cree Summer,Action Adventure Animation Family Fantasy Sci-Fi
Walt Becker,alvin and the chipmunks: the road chip,Bella Thorne,Joshua Mikel,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music
Bryan Singer,valkyrie,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War
Dennis Dugan,you don't mess with the zohan,Adam Sandler,Sayed Badreya,Kevin Nealon,Action Comedy
Chris Columbus,pixels,Peter Dinklage,Adam Sandler,Josh Gad,Action Animation Comedy Sci-Fi
Steven Spielberg,a.i. artificial intelligence,Haley Joel Osment,William Hurt,Kevin Sussman,Adventure Drama Sci-Fi
Rob Minkoff,the haunted mansion,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery
Robert Zemeckis,contact,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller
Paul Verhoeven,hollow man,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller
Sydney Pollack,the interpreter,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller
Thor Freudenthal,percy jackson: sea of monsters,Logan Lerman,Leven Rambin,Brandon T. Jackson,Adventure Family Fantasy
Jan de Bont,lara croft tomb raider: the cradle of life,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Action Adventure Fantasy
Jon M. Chu,now you see me 2,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller
Phillip Noyce,the saint,Alun Armstrong,Michael Byrne,Velibor Topic,Action Adventure Romance Sci-Fi Thriller
Tony Scott,spy game,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller
Brian De Palma,mission to mars,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller
Carlos Saldanha,rio,Anne Hathaway,Wanda Sykes,Will.i.am,Adventure Animation Comedy Family Musical
Chris Columbus,bicentennial man,Robin Williams,Oliver Platt,John Michael Higgins,Comedy Drama Sci-Fi
Mick Jackson,volcano,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller
Alan J. Pakula,the devil's own,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller
Kathryn Bigelow,k-19: the widowmaker,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War
Josh Trank,fantastic four,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi
John Milius,conan the barbarian,William Smith,Mako,Sandahl Bergman,Adventure Fantasy
Ron Howard,cinderella man,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport
Andrey Konchalovskiy,the nutcracker in 3d,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical
Gary Ross,seabiscuit,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport
Jan de Bont,twister,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller
Rob Cohen,the fast and the furious,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller
Robert Zemeckis,cast away,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance
George Miller,happy feet,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance
Paul Greengrass,the bourne supremacy,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller
Wolfgang Petersen,air force one,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller
Steven Soderbergh,ocean's eleven,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller
Paul W.S. Anderson,the three musketeers,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance
Genndy Tartakovsky,hotel transylvania,Steve Buscemi,Adam Sandler,Jon Lovitz,Animation Comedy Family Fantasy
Kevin Lima,enchanted,Jeff Bennett,Teala Dunn,Fred Tatasciore,Animation Comedy Family Fantasy Musical Romance
unknown,hannibal            ,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller
Daniel Espinosa,safe house,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller
Kevin Lima,102 dalmatians,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family
Brett Ratner,tower heist,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Action Comedy Crime
Nancy Meyers,the holiday,Kate Winslet,Rufus Sewell,Sarah Parish,Comedy Romance
Tony Scott,enemy of the state,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller
Nancy Meyers,it's complicated,Meryl Streep,Hunter Parrish,Zoe Kazan,Comedy Drama Romance
Steven Soderbergh,ocean's thirteen,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller
Roger Allers,open season,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family
Neil Burger,divergent,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi
Jean-Jacques Annaud,enemy at the gates,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War
Peter Berg,the rundown,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller
John McTiernan,last action hero,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy
Rob Marshall,memoirs of a geisha,Li Gong,Mako,Karl Yune,Drama Romance
Justin Lin,the fast and the furious: tokyo drift,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller
Sarah Smith,arthur christmas,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy
Martin Brest,meet joe black,Anthony Hopkins,Brad Pitt,Jake Weber,Drama Fantasy Romance
Andrew Davis,collateral damage,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller
Bob Fosse,all that jazz,Roy Scheider,Ben Vereen,Max Wright,Comedy Drama Music Musical
Tarsem Singh,mirror mirror,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy
Edgar Wright,scott pilgrim vs. the world,Anna Kendrick,Kieran Culkin,Ellen Wong,Action Comedy Fantasy Romance
Jon Amiel,the core,Glenn Morshower,Tchéky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller
Peter Segal,nutty professor ii: the klumps,Larry Miller,Janet Jackson,Chris Elliott,Comedy Romance Sci-Fi
Raja Gosnell,scooby-doo,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,Adventure Comedy Mystery
Pete Travis,dredd,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi
Frank Coraci,click,Adam Sandler,Cameron Monaghan,Julie Kavner,Comedy Drama Fantasy Romance
George A. Romero,creepshow,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy Fantasy Horror
Brad Peyton,cats & dogs: the revenge of kitty galore,Jack McBrayer,Sean Hayes,Katt Williams,Action Comedy Family Fantasy
Doug Liman,jumper,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller
Guillermo del Toro,hellboy ii: the golden army,Seth MacFarlane,Iván Kamarás,Brian Steele,Action Adventure Fantasy Horror Sci-Fi
